Hanzi,Pinyin,Meaning
安排,ānpái,"arrange, plan, fix up, provide (meals/etc.)"
兒童,értóng,"kid, nipper, enfant, tyke, youngster, small fry, minor, shaver, nestling, tike, child, chit, fry, children, infant, tiddler, small-fry"
國中,guózhōng,"middle school, junior high school"
範圍,fànwéi,"demesne, latitude, shot, compass, extensity, panorama, parameter, boundary, arena, stretch, territory, radius, spectrum, scope, extension, sphere, orbit, circumscription, limits, purview, grasp, extent, region, space, limit, hemisphere, horizon, envelope, bounds, realm, terrain, tether, sphere of influence, range, circuit, domain, precinct, reach, area, length, spread, bailiwick, ambit, con"
老人,lǎorén,"oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents"
雙方,shuāngfāng,"both, the two parties, two parties, both sides"
牠,tā,it (animal)
北京,běijīng,"capital of Red China, Beijing, Peking, Beijing (Peking), Peiping"
年輕,niánqīng,"junior, young"
結束,jiéshù,"end, close, conclude"
教,jiāo,teach
程式,chéngshì,"formula, instruction, computer programme, pattern, form, modality, subprogram, routine, programme, course, function, subroutine, procedure, mode, order, sequence, computer program, program"
婦女,fùnǔ,"feme, womankind, female, femininity, cummer, woman, femme, quean, bevy, matron, toots, womanhood, feminine, womenfolk, women"
找到,zhǎodào,"light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon"
彼此,bǐcǐ,"each other, one another, I/me too"
全球,quánqiú,"global, whole world"
成本,chéngběn,cost
回到,huídào,"remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to"
部,bù,m.[general]
而已,éryǐ,particle: imparting finality (that's all)
之下,zhīxià,"under the condition of, under, beneath, below"
等,děng,wait
變,biàn,"change, transform"
期間,qíjiān,"length, period, time period, amount of time, duration, course, interim, period of time, time, standing, chapter, tract, space, term, streak, efflux"
非,fēi,not
小姐,xiǎojiě,"Signorina, Senorita, senorita, signorina, young_lady, damosel, Dona, mum, young lady, damoiselle, missy, tootsy, demoiselle, damsel, Miss, Fraulein, miss, sheila, sister, toots, senhorita, damozel, Ladyship, ladyship, Mademoiselle, mademoiselle"
整體,zhěngtǐ,"integrity, allness, entirety, integer, integral, monolith, entireness, ensemble, wholeness, entire, tout ensemble, whole, totality, unity"
採用,cǎiyòng,"invoke, admit, assume, adoptive, use, adopt, select for use, embrace, accept, employment, take, introduce, take up, take_on, take over, take on, borrow, employ, adoption"
根本,gēnběn,"at all, utterly"
叫,jiào,to be called
歐洲,ōuzhōu,Europe
正在,zhèngzài,"course of, be, be in process"
加以,jiāyǐ,handle; treat (used before polysyllabic verbs or verbal nouns)
充滿,chōngmǎn,"swarm, be brimming, inhabit, be brimming with, teem, crawl, fill, lard, pullulate with, brim, be permeated with, bathe, be filled with, permeated with, abound in, implement, exuberate, fill up, flow, abound, burst, perfuse, foam, bristle, crackle, inform, pervade, be imbued with, simmer, glut, teem in, permeate, congest, be full of, reek, charge, suffuse, pullulate, overfill, swell"
系列,xìliè,"succession, set, spectrum, course, train, series"
隨著,suízhe,"along with, in the wake of, in pace with"
早,zǎo,"early, long ago, in advance, beforehand, prematurely"
等等,děngděng,"conj.: and so on, etc"
頗,pǒ,"pretty, quite an, very, quite, jolly, fearfully, quite a, molto, middling, considerably, greatly"
不足,bùzú,"not be enough, not be worth (doing sth.), cannot, should not"
總,zǒng,"always, invariably, anyway, after all, inevitably, sooner or later"
分析,fēnxī,analyze
深,shēn,"deepen, penetrating, profound, deep, dark"
報告,bàogào,"report, speech, (student) term paper"
不錯,búcuò,"not bad, pretty good;correct, right"
在於,zàiyū,"be at, on, lie, in, depend on, lie_in, rest with, lie in, be determined by, consist_in, consist in"
旁,páng,"side, by the side of, other"
笑,xiào,"smile, laugh"
故,gù,"conj.: hence, so, therefore, as a result"
消費者,xiāofèizhě,"customer, buyer, consumer"
意識,yìshì,"consciousness, witting, sensibility, conscious, conscience, ideology, awareness, subconscious, mentality"
公尺,gōngchǐ,m.[standard]
民族,mínzú,"tribe, citizenry, ethnos, ethnic minority/group, race, nationality, group, Volk, nation, folk, people, ethnic group, ethnographer, family, ethnic minority"
為主,wéizhǔ,give first place to
大眾,dàzhòng,"the broad masses, roughscuff, the public, herd, concourse, commonality, riffraff, masses, commonness, the masses, throng, multitude, commonage, commonalty, plebeian, plebs, horde, the people/masses, community, the people, million, mass, public"
到底,dàodǐ,"to the end, at last, after all"
願,yuàn,"will, wish, may, desire"
度,dù,m.[activity]
大概,dàgài,"chiefly, if not, perchance, approximately, believably, maybe, presumably, plausibly, almost, conceivably, most likely, assumedly, ablings, likely, perhaps, probably, supposedly, ablins, credibly, assumably, belike"
對方,duìfāng,"other party, the other party, fellow, party, other side, adversary, other side/party"
官員,guānyuán,"beg, official, mandarinate, administrative official, office-bearer, officer, bureaucrat, placeman, federal agent, government officials, agent, officialism, functionary, director, officeholder, officialdom, myrmidon"
發表,fābiǎo,"voice, enounce, enunciate, publish, free, sound, announce, pronounce, deliver, circulation, put_out, release, issue, vend, circularize, give, give_out, denote, present, circulate, publicize, blazon, promulgate, mouth"
進一步,jìnyībù,go step further
自由,zìyóu,"free, unrestrained"
正確,zhèngquè,"correct, true, exact, proper, right"
豐富,fēngfù,"rich, abundant, plentiful"
國民黨,guómíndǎng,"Kuomintang, Nationalist Party, Kuomintang (KMT)"
戰爭,zhànzhēng,"war, warfare"
怎麼樣,zěnmeyàng,How are things?
只好,zhǐhǎo,"can only, have no choice but, have to, be forced to"
明顯,míngxiǎn,"clear, obvious"
改革,gǎigé,reform
表達,biǎodá,"express, convey, voice"
肯定,kěndìng,"affirm, approve, regard as positive"
強,qiáng,"strong, powerful, vigorous, better, slightly more than, plus"
高興,gāoxìng,"glad, happy, cheerful, merry, pleased"
哪,nǎ,det.: which
樹,shù,"wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito"
適合,shìhé,"qualify, conform, fit, go, befit, quadrate, will, accord, tailor, beseem, serve, comport, gee, answer, become, fit_in, service, pertain, like, accommodate, agree, belong, characterize, make, suit, match"
茶,chá,tea
別,bié,don't
國外,guówài,overseas
關心,guānxīn,be concerned about
蘇聯,sūlián,"Russia, Soviet, USSR, Soviet Union"
成績,chéngjī,"execution, carrying into action, achievement, result, showing, carrying out, performance, grade, success, doing, batting average"
人物,rénwù,"character, persona, original, spirit, figure painting, character in literature, figure, person in literature, person, fish, personage, personality"
聽到,tīngdào,hear
創造,chuàngzào,"create, produce, bring about"
不必,búbì,"need not, not have to"
不論,búlùn,conj.: no matter how/who/what/etc.
尚,shàng,"still, yet, fairly, rather"
居民,jūmín,"municipality, population, citizen, denizen, townie, people, dweller, populace, residenter, resident, towny, inhabitant, habitant, liver"
不管,bùguǎn,"conj.: no matter, regardless of"
美麗,měilì,beautiful
伊拉克,yīlākè,"Al-Iraq, Iraq, Irak"
帶來,dàilái,"bring, redound, impart, bring_on, bring on, express, fetch, lend, convey, contribute, bring about, bestow, carry, bring oneself, add, usher, incur, land"
有,yǒu,there is/are
般,bān,"way, kind, variety, sort"
永遠,yǒngyuǎn,"e'er, always, for_good, evermore, ever, forever"
感情,gǎnqíng,"warmheartedness, reticence, sensation, affection, susceptibility, feeling, feelings, heart, affective, withers, expression, tenderness, emotion, sentiment, fondness, soul, affectionateness, soulfulness, passion"
兒子,érzi,"son, male offspring, boy"
這樣子,zhèyàngzi,"so, such, like this, this way"
起,qǐ,[aspect]
全部,quánbù,"lot, aggregate, all, gross, entirety, allness, shebang, caboodle, complete, bunch, sum, total, gamut, entire, det.: all, totality, whole, everything"
